"","Region","SurveyName","Year","Species","Common","Bin","WTCPUE","HaulProportion","HaulBin"
"1","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Albatrossia pectoralis","Giant grenadier","Abundant",896.82616491,0.0577507598784195,"Rare"
"2","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Anoplopoma fimbria","Sablefish","Common",559.65374395,0.060790273556231,"Rare"
"3","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Aptocyclus ventricosus","Smooth lumpsucker","Less Common",0.60312751,0.088145896656535,"Rare"
"4","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Abundant",2094.45196474,0.726443768996961,"Common"
"5","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Bathymaster signatus","Searcher","Common",24.85931829,0.252279635258359,"Common"
"6","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Bathyraja spp.","Skate complex","Common",540.89541732,0.404255319148936,"Common"
"7","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Berryteuthis magister","Magister armhook squid","Abundant",979.24441622,0.155015197568389,"Less Common"
"8","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Ceramaster japonicus","Red cookie star","Rare",0.01053574,0.00303951367781155,"Rare"
"9","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Ceramaster patagonicus","Cookie star","Less Common",0.85117258,0.0638297872340425,"Rare"
"10","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Cheiraster (Luidiaster) dawsoni",NA,"Rare",0.34266035,0.0303951367781155,"Rare"
"11","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Chionoecetes bairdi","Tanner crab","Common",10.05334115,0.0729483282674772,"Rare"
"12","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Crossaster papposus","Common sunstar","Rare",0.24626042,0.0303951367781155,"Rare"
"13","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Diplopteraster multipes","Pincushion star","Rare",0.10629394,0.00303951367781155,"Rare"
"14","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Enteroctopus dofleini","North pacific giant octopus","Common",3.96027858,0.0151975683890578,"Rare"
"15","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Erimacrus isenbeckii","Hair crab","Less Common",0.8045963,0.0182370820668693,"Rare"
"16","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Eumicrotremus orbis","Pacific spiny lumpsucker","Less Common",0.99683983,0.139817629179331,"Less Common"
"17","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Gadus chalcogrammus","Walleye pollock","Highly Abundant",15471.40263607,0.662613981762918,"Common"
"18","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Gadus macrocephalus","Pacific cod","Highly Abundant",9283.03607245,0.720364741641337,"Common"
"19","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Glyptocephalus zachirus","Rex sole","Common",104.16658709,0.224924012158055,"Less Common"
"20","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Gorgonocephalus eucnemis","Basket star","Common",24.21239411,0.227963525835866,"Less Common"
"21","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Gymnocanthus galeatus","Armorhead sculpin","Common",10.10032425,0.088145896656535,"Rare"
"22","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hemilepidotus jordani","Yellow irish lord","Common",232.95495478,0.382978723404255,"Common"
"23","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hemilepidotus zapus","Longfin irish lord","Rare",0.00999764,0.00303951367781155,"Rare"
"24","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hemitripterus bolini","Bigmouth sculpin","Common",68.9301097,0.11854103343465,"Less Common"
"25","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hippasteria phrygiana","Arctic cushion star","Less Common",0.52017146,0.033434650455927,"Rare"
"26","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hippoglossoides elassodon","Flathead sole","Common",465.79943932,0.264437689969605,"Common"
"27","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hippoglossus stenolepis","Pacific halibut","Abundant",2110.07213149,0.522796352583587,"Common"
"28","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hyas lyratus","Pacific lyre crab","Less Common",0.83407341,0.088145896656535,"Rare"
"29","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Lepidopsetta sp.","Rock soles","Abundant",2288.04719544,0.74468085106383,"Common"
"30","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Lethasterias nanimensis","Black spined sea star","Rare",0.39538711,0.00911854103343465,"Rare"
"31","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Lithodes aequispinus","Golden king crab","Common",31.12928603,0.139817629179331,"Less Common"
"32","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Lycodes concolor","Ebony eelpout","Common",8.69778704,0.0303951367781155,"Rare"
"33","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Malacocottus zonurus","Darkfin sculpin","Common",138.16817911,0.446808510638298,"Common"
"34","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Microstomus pacificus","Dover sole","Common",11.84848702,0.0425531914893617,"Rare"
"35","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Modiolus modiolus","Northern horsemussel","Rare",0.01612982,0.00303951367781155,"Rare"
"36","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Myoxocephalus polyacanthocephalus","Great sculpin","Common",198.7559898,0.182370820668693,"Less Common"
"37","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Oregonia gracilis","Graceful decorator crab","Rare",0.34710996,0.0577507598784195,"Rare"
"38","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Pagurus aleuticus","Aleutian hermit","Rare",0.04125429,0.0060790273556231,"Rare"
"39","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Pagurus brandti","Sponge hermit","Rare",0.04952138,0.0060790273556231,"Rare"
"40","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Pleurogrammus monopterygius","Atka mackerel","Highly Abundant",27799.07391355,0.379939209726444,"Common"
"41","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Podothecus accipenserinus","Sturgeon poacher","Common",3.93208676,0.0638297872340425,"Rare"
"42","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Reinhardtius hippoglossoides","Greenland halibut","Common",514.85427419,0.112462006079027,"Less Common"
"43","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Rossia pacifica","Eastern pacific bobtail","Rare",0.28001965,0.0516717325227964,"Rare"
"44","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sarritor frenatus","Sawback poacher","Common",2.70475404,0.167173252279635,"Less Common"
"45","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastes alutus","Pacific ocean perch","Highly Abundant",27080.48458138,0.550151975683891,"Common"
"46","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastes borealis","Shortraker rockfish","Abundant",684.23001231,0.148936170212766,"Less Common"
"47","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish","Common",417.1290189,0.246200607902736,"Less Common"
"48","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastes polyspinis","Northern rockfish","Highly Abundant",6417.73538809,0.358662613981763,"Common"
"49","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastes variabilis and S. ciliatus","Dusky and dark rockfish","Common",42.26500678,0.0699088145896656,"Rare"
"50","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastolobus alascanus","Shortspine thornyhead","Common",204.00055839,0.100303951367781,"Less Common"
"51","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Triglops forficatus","Scissortail sculpin","Common",25.94219057,0.158054711246201,"Less Common"
"52","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Triglops scepticus","Spectacled sculpin","Common",47.56732862,0.297872340425532,"Common"
"53","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Zaprora silenus","Prowfish","Common",301.6055405,0.115501519756839,"Less Common"
"54","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Albatrossia pectoralis","Giant grenadier","Abundant",1247.91341717,0.0605263157894737,"Rare"
"55","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Anoplopoma fimbria","Sablefish","Common",172.68593407,0.102631578947368,"Less Common"
"56","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Aptocyclus ventricosus","Smooth lumpsucker","Common",1.78683717,0.123684210526316,"Less Common"
"57","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Highly Abundant",6982.83044361,0.726315789473684,"Common"
"58","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Bathymaster signatus","Searcher","Common",31.69453779,0.234210526315789,"Less Common"
