"","Region","SurveyName","Species","Common","TrendCategory","Notes","Haul_Inc_Dec","Bio_Inc_Dec"
"1","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Albatrossia pectoralis","Giant grenadier","Persistently Present",NA,NA,NA
"2","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Anoplopoma fimbria","Sablefish","Persistently Present",NA,"Increasing",NA
"3","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Aptocyclus ventricosus","Smooth lumpsucker","Persistently Present",NA,NA,NA
"4","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Arctoraja parmifera","Alaska skate","Emerged","Preliminary trend - under review",NA,NA
"5","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Persistently Present",NA,NA,NA
"6","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Bathymaster signatus","Searcher","Persistently Present",NA,"Decreasing",NA
"7","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Bathyraja spp.","Skate complex","Persistently Present",NA,"Decreasing","Decreasing"
"8","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Berryteuthis magister","Magister armhook squid","Persistently Present",NA,NA,NA
"9","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Ceramaster japonicus","Red cookie star","Persistently Present",NA,"Decreasing",NA
"10","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Ceramaster patagonicus","Cookie star","Persistently Present",NA,"Decreasing",NA
"11","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Cheiraster (Luidiaster) dawsoni",NA,"Persistently Present",NA,"Decreasing",NA
"12","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Chionoecetes bairdi","Tanner crab","Persistently Present",NA,"Decreasing",NA
"13","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Crossaster papposus","Common sunstar","Persistently Present",NA,NA,NA
"14","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Diplopteraster multipes","Pincushion star","Persistently Present",NA,NA,"Decreasing"
"15","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Elassochirus cavimanus","Purple hermit","Persistently Present","Preliminary trend - under review",NA,NA
"16","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Elassochirus tenuimanus","Widehand hermit","Persistently Present","Preliminary trend - under review","Decreasing",NA
"17","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Enteroctopus dofleini","North pacific giant octopus","Persistently Present",NA,"Decreasing","Decreasing"
"18","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Erimacrus isenbeckii","Hair crab","Persistently Present",NA,NA,NA
"19","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Eumicrotremus orbis","Pacific spiny lumpsucker","Persistently Present",NA,"Increasing",NA
"20","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Gadus chalcogrammus","Walleye pollock","Persistently Present",NA,NA,NA
"21","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Gadus macrocephalus","Pacific cod","Persistently Present",NA,NA,"Decreasing"
"22","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Glyptocephalus zachirus","Rex sole","Persistently Present",NA,NA,NA
"23","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Gorgonocephalus eucnemis","Basket star","Persistently Present",NA,NA,"Decreasing"
"24","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Gymnocanthus galeatus","Armorhead sculpin","Persistently Present",NA,"Decreasing",NA
"25","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hemilepidotus jordani","Yellow irish lord","Persistently Present",NA,"Increasing",NA
"26","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hemilepidotus zapus","Longfin irish lord","Persistently Present",NA,"Decreasing",NA
"27","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hemitripterus bolini","Bigmouth sculpin","Persistently Present",NA,"Decreasing",NA
"28","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hippasteria phrygiana","Arctic cushion star","Persistently Present",NA,"Increasing",NA
"29","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hippoglossoides elassodon","Flathead sole","Persistently Present",NA,NA,NA
"30","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hippoglossus stenolepis","Pacific halibut","Persistently Present",NA,NA,"Decreasing"
"31","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hyas lyratus","Pacific lyre crab","Persistently Present",NA,NA,NA
"32","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lepidopsetta sp.","Rock soles","Persistently Present",NA,NA,NA
