Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
Albatrossia pectoralis,Giant grenadier,"Gadiformes (Cods, genadiers, pollock)",Alaska,Aleutian Islands,NA,NA,Not for IDW
Anoplopoma fimbria,Sablefish,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Aptocyclus ventricosus,Smooth lumpsucker,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NA,NA,Not for IDW
Arctoraja parmifera,Alaska skate,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Pleuronectiformes (Flatfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Bathymaster signatus,Searcher,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Bathyraja spp.,Skate complex,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Berryteuthis magister,Magister armhook squid,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Ceramaster japonicus,Red cookie star,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,Not for IDW
Ceramaster patagonicus,Cookie star,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,Not for IDW
Cheiraster (Luidiaster) dawsoni,NA,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Not for IDW
Crossaster papposus,Common sunstar,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Diplopteraster multipes,Pincushion star,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Elassochirus cavimanus,Purple hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Elassochirus tenuimanus,Widehand hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NA,NA,Not for IDW
Enteroctopus dofleini,North pacific giant octopus,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NA,NA,Not for IDW
Eumicrotremus orbis,Pacific spiny lumpsucker,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Glyptocephalus zachirus,Rex sole,Pleuronectiformes (Flatfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Gymnocanthus galeatus,Armorhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Hemilepidotus jordani,Yellow irish lord,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Hemilepidotus zapus,Longfin irish lord,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NA,NA,Not for IDW
Hemitripterus bolini,Bigmouth sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NA,NA,Not for IDW
Hippasteria phrygiana,Arctic cushion star,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Hippoglossoides elassodon,Flathead sole,Pleuronectiformes (Flatfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes),Alaska,Aleutian Islands,NPFMC,Species Managed Under International Agreement - IPHC,NMFS/Rutgers IDW Interpolation
Hyas lyratus,Pacific lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Leptasterias coei truculenta,Giant Aleutian six-rayed star,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,Not for IDW
Lethasterias nanimensis,Black spined sea star,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Lethotremus muticus,Docked snailfish,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NA,NA,Not for IDW
Lithodes aequispinus,Golden king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
Lycodes concolor,Ebony eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Aleutian Islands,NA,NA,Not for IDW
Malacocottus zonurus,Darkfin sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Microstomus pacificus,Dover sole,Pleuronectiformes (Flatfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Modiolus modiolus,Northern horsemussel,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Aleutian Islands,NA,NA,Not for IDW
Myoxocephalus polyacanthocephalus,Great sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Oregonia gracilis,Graceful decorator crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Pagurus aleuticus,Aleutian hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NA,NA,Not for IDW
Pagurus brandti,Sponge hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Pagurus trigonocheirus,Fuzzy hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NA,NA,Not for IDW
Pleurogrammus monopterygius,Atka mackerel,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Podothecus accipenserinus,Sturgeon poacher,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Pseudarchaster parelii,Northern scarlet star,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,Not for IDW
Reinhardtius hippoglossoides,Greenland halibut,Pleuronectiformes (Flatfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
Rossia pacifica,Eastern pacific bobtail,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Sarritor frenatus,Sawback poacher,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Sebastes alutus,Pacific ocean perch,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Sebastes borealis,Shortraker rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Sebastes polyspinis,Northern rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Sebastes variabilis and S. ciliatus,Dusky and dark rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Sebastolobus alascanus,Shortspine thornyhead,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Solaster dawsoni,Morning sun star,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,Not for IDW
Solaster sp. A (Clark 1997),NA,Asteroidea (starfishes),Alaska,Aleutian Islands,NA,NA,Not for IDW
Triglops forficatus,Scissortail sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Triglops scepticus,Spectacled sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Zaprora silenus,Prowfish,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Aleutian Islands,NA,NA,NMFS/Rutgers IDW Interpolation
Acantholumpenus mackayi,Pighead prickleback,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern and Northern Bering Sea,NA,NA,Not for IDW
Anoplopoma fimbria,Sablefish,Perciformes/Cottoidei (sculpins),Alaska,Eastern and Northern Bering Sea,NPFMC,Groundfish of the Gulf of Alaska,Not for IDW
Arctoraja parmifera,Alaska skate,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Eastern and Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Aspidophoroides monopterygius,Alligatorfish,Perciformes/Cottoidei (sculpins),Alaska,Eastern and Northern Bering Sea,NA,NA,NMFS/Rutgers IDW Interpolation
Aspidophoroides olrikii,Arctic alligatorfish,Perciformes/Cottoidei (sculpins),Alaska,Eastern and Northern Bering Sea,NA,NA,Not for IDW
Asterias amurensis,North pacific seastar,Asteroidea (starfishes),Alaska,Eastern and Northern Bering Sea,NA,NA,NMFS/Rutgers IDW Interpolation
Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Pleuronectiformes (Flatfishes),Alaska,Eastern and Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Aulacofusus herendeeni,Thin-ribbed whelk,Gastropoda (sea snails and slugs),Alaska,Eastern and Northern Bering Sea,NA,NA,Not for IDW
Bathymaster signatus,Searcher,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern and Northern Bering Sea,NA,NA,NMFS/Rutgers IDW Interpolation
Bathyraja spp.,Skate complex,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Eastern and Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Boreogadus saida,Arctic cod,"Gadiformes (Cods, genadiers, pollock)",Alaska,Eastern and Northern Bering Sea,NA,NA,Not for IDW
Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern and Northern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
Chionoecetes opilio,Snow crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern and Northern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
Ciliatocardium ciliatum,Hairy cockle,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern and Northern Bering Sea,NA,NA,Not for IDW
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Eastern and Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Crossaster papposus,Common sunstar,Asteroidea (starfishes),Alaska,Eastern and Northern Bering Sea,NA,NA,NMFS/Rutgers IDW Interpolation
Ctenodiscus crispatus,Mud star,Asteroidea (starfishes),Alaska,Eastern and Northern Bering Sea,NA,NA,NMFS/Rutgers IDW Interpolation
Dasycottus setiger,Spinyhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern and Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
Echinarachnius parma,Common sand dollar,"Echinoidea (sea urchins, sand dollars)",Alaska,Eastern and Northern Bering Sea,NA,NA,Not for IDW
Elassochirus cavimanus,Purple hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern and Northern Bering Sea,NA,NA,Not for IDW
Eleginus gracilis,Saffron cod,"Gadiformes (Cods, genadiers, pollock)",Alaska,Eastern and Northern Bering Sea,NA,NA,NMFS/Rutgers IDW Interpolation
Enophrys diceraus,Antlered sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern and Northern Bering Sea,NA,NA,Not for IDW
Enteroctopus dofleini,North pacific giant octopus,"Cephalopoda (squid, octopus)",Alaska,Eastern and Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern and Northern Bering Sea,NA,NA,NMFS/Rutgers IDW Interpolation
Evasterias echinosoma,Giant sea star,Asteroidea (starfishes),Alaska,Eastern and Northern Bering Sea,NA,NA,NMFS/Rutgers IDW Interpolation
