"","Region","SurveyName","Year","Species","Common","Bin","WTCPUE","HaulProportion","HaulBin"
"1","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Albatrossia pectoralis","Giant grenadier","Abundant",896.82616491,0.0577507598784195,"Rare"
"2","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Anoplopoma fimbria","Sablefish","Abundant",559.65374395,0.060790273556231,"Rare"
"3","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Aptocyclus ventricosus","Smooth lumpsucker","Less Common",0.60312751,0.088145896656535,"Rare"
"4","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Bathymaster signatus","Searcher","Common",24.85931829,0.252279635258359,"Common"
"5","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Berryteuthis magister","Magister armhook squid","Abundant",979.24441622,0.155015197568389,"Less Common"
"6","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Ceramaster japonicus","Red cookie star","Rare",0.01053574,0.00303951367781155,"Rare"
"7","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Ceramaster patagonicus","Cookie star","Less Common",0.85117258,0.0638297872340425,"Rare"
"8","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Chionoecetes bairdi","Tanner crab","Common",10.05334115,0.0729483282674772,"Rare"
"9","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Crossaster papposus","Common sunstar","Rare",0.24626042,0.0303951367781155,"Rare"
"10","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Diplopteraster multipes","Pincushion star","Rare",0.10629394,0.00303951367781155,"Rare"
"11","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Enteroctopus dofleini","North pacific giant octopus","Common",3.96027858,0.0151975683890578,"Rare"
"12","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Erimacrus isenbeckii","Hair crab","Less Common",0.8045963,0.0182370820668693,"Rare"
"13","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Eumicrotremus orbis","Pacific spiny lumpsucker","Less Common",0.99683983,0.139817629179331,"Less Common"
"14","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Gadus chalcogrammus","Walleye pollock","Highly Abundant",15471.40263607,0.662613981762918,"Common"
"15","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Gadus macrocephalus","Pacific cod","Highly Abundant",9283.03607245,0.720364741641337,"Common"
"16","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Glyptocephalus zachirus","Rex sole","Common",104.16658709,0.224924012158055,"Less Common"
"17","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Gorgonocephalus eucnemis","Basket star","Common",24.21239411,0.227963525835866,"Less Common"
"18","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Gymnocanthus galeatus","Armorhead sculpin","Common",10.10032425,0.088145896656535,"Rare"
"19","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hemilepidotus jordani","Yellow irish lord","Common",232.95495478,0.382978723404255,"Common"
"20","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hemilepidotus zapus","Longfin irish lord","Rare",0.00999764,0.00303951367781155,"Rare"
"21","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hemitripterus bolini","Bigmouth sculpin","Common",68.9301097,0.11854103343465,"Less Common"
"22","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hippasteria phrygiana","Arctic cushion star","Less Common",0.52017146,0.033434650455927,"Rare"
"23","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hippoglossoides elassodon","Flathead sole","Common",465.79943932,0.264437689969605,"Common"
"24","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hippoglossus stenolepis","Pacific halibut","Abundant",2110.07213149,0.522796352583587,"Common"
"25","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Hyas lyratus","Pacific lyre crab","Less Common",0.83407341,0.088145896656535,"Rare"
"26","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Lepidopsetta sp.","Rock soles","Abundant",2288.04719544,0.74468085106383,"Common"
"27","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Lethasterias nanimensis","Black spined sea star","Rare",0.39538711,0.00911854103343465,"Rare"
"28","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Lithodes aequispinus","Golden king crab","Common",31.12928603,0.139817629179331,"Less Common"
"29","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Lycodes concolor","Ebony eelpout","Common",8.69778704,0.0303951367781155,"Rare"
"30","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Malacocottus zonurus","Darkfin sculpin","Common",138.16817911,0.446808510638298,"Common"
"31","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Microstomus pacificus","Dover sole","Common",11.84848702,0.0425531914893617,"Rare"
"32","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Modiolus modiolus","Northern horsemussel","Rare",0.01612982,0.00303951367781155,"Rare"
"33","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Myoxocephalus polyacanthocephalus","Great sculpin","Common",198.7559898,0.182370820668693,"Less Common"
"34","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Oregonia gracilis","Graceful decorator crab","Rare",0.34710996,0.0577507598784195,"Rare"
"35","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Pagurus aleuticus","Aleutian hermit","Rare",0.04125429,0.0060790273556231,"Rare"
"36","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Pagurus brandti","Sponge hermit","Rare",0.04952138,0.0060790273556231,"Rare"
"37","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Pleurogrammus monopterygius","Atka mackerel","Highly Abundant",27799.07391355,0.379939209726444,"Common"
"38","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Podothecus accipenserinus","Sturgeon poacher","Common",3.93208676,0.0638297872340425,"Rare"
"39","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Reinhardtius hippoglossoides","Greenland halibut","Abundant",514.85427419,0.112462006079027,"Less Common"
"40","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Rossia pacifica","Eastern pacific bobtail","Rare",0.28001965,0.0516717325227964,"Rare"
"41","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sarritor frenatus","Sawback poacher","Common",2.70475404,0.167173252279635,"Less Common"
"42","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastes alutus","Pacific ocean perch","Highly Abundant",27080.48458138,0.550151975683891,"Common"
"43","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastes borealis","Shortraker rockfish","Abundant",684.23001231,0.148936170212766,"Less Common"
"44","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastes polyspinis","Northern rockfish","Highly Abundant",6417.73538809,0.358662613981763,"Common"
"45","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Sebastolobus alascanus","Shortspine thornyhead","Common",204.00055839,0.100303951367781,"Less Common"
"46","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Triglops forficatus","Scissortail sculpin","Common",25.94219057,0.158054711246201,"Less Common"
"47","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Triglops scepticus","Spectacled sculpin","Common",47.56732862,0.297872340425532,"Common"
"48","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1991","Zaprora silenus","Prowfish","Common",301.6055405,0.115501519756839,"Less Common"
"49","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Albatrossia pectoralis","Giant grenadier","Abundant",1247.91341717,0.0605263157894737,"Rare"
"50","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Anoplopoma fimbria","Sablefish","Common",172.68593407,0.102631578947368,"Less Common"
"51","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Aptocyclus ventricosus","Smooth lumpsucker","Common",1.78683717,0.123684210526316,"Less Common"
"52","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Bathymaster signatus","Searcher","Common",31.69453779,0.234210526315789,"Less Common"
"53","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Berryteuthis magister","Magister armhook squid","Abundant",687.42806425,0.231578947368421,"Less Common"
"54","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Ceramaster japonicus","Red cookie star","Rare",0.06417315,0.00526315789473684,"Rare"
"55","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Ceramaster patagonicus","Cookie star","Less Common",0.57163788,0.0289473684210526,"Rare"
"56","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Chionoecetes bairdi","Tanner crab","Common",9.27977553,0.0868421052631579,"Rare"
"57","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Crossaster papposus","Common sunstar","Common",3.4454181,0.184210526315789,"Less Common"
"58","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Diplopteraster multipes","Pincushion star","Common",5.49420258,0.118421052631579,"Less Common"
"59","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Enteroctopus dofleini","North pacific giant octopus","Common",57.9642337,0.0631578947368421,"Rare"
"60","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Erimacrus isenbeckii","Hair crab","Less Common",0.90542487,0.0447368421052632,"Rare"
"61","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Eumicrotremus orbis","Pacific spiny lumpsucker","Common",2.06641478,0.165789473684211,"Less Common"
"62","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Gadus chalcogrammus","Walleye pollock","Highly Abundant",10247.93659754,0.642105263157895,"Common"
"63","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Gadus macrocephalus","Pacific cod","Highly Abundant",15003.97452316,0.747368421052632,"Common"
"64","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Glyptocephalus zachirus","Rex sole","Common",325.92685662,0.315789473684211,"Common"
"65","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Gorgonocephalus eucnemis","Basket star","Common",124.21520304,0.442105263157895,"Common"
"66","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Gymnocanthus galeatus","Armorhead sculpin","Common",15.07926029,0.123684210526316,"Less Common"
"67","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Hemilepidotus jordani","Yellow irish lord","Common",461.71802115,0.442105263157895,"Common"
"68","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Hemilepidotus zapus","Longfin irish lord","Common",1.74819928,0.0657894736842105,"Rare"
"69","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Hemitripterus bolini","Bigmouth sculpin","Common",130.8911827,0.102631578947368,"Less Common"
"70","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Hippasteria phrygiana","Arctic cushion star","Common",3.01524615,0.136842105263158,"Less Common"
"71","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Hippoglossoides elassodon","Flathead sole","Abundant",865.46953935,0.328947368421053,"Common"
"72","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Hippoglossus stenolepis","Pacific halibut","Abundant",4137.84549326,0.697368421052632,"Common"
"73","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Hyas lyratus","Pacific lyre crab","Common",3.69036741,0.155263157894737,"Less Common"
"74","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Lepidopsetta sp.","Rock soles","Abundant",3288.30291194,0.731578947368421,"Common"
"75","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Lethasterias nanimensis","Black spined sea star","Common",10.8187419,0.15,"Less Common"
"76","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Lithodes aequispinus","Golden king crab","Common",83.69195963,0.226315789473684,"Less Common"
"77","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Lycodes concolor","Ebony eelpout","Common",21.70233322,0.0763157894736842,"Rare"
"78","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Malacocottus zonurus","Darkfin sculpin","Common",186.58471459,0.478947368421053,"Common"
"79","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","1994","Microstomus pacificus","Dover sole","Common",21.09855186,0.0736842105263158,"Rare"
