"","Region","SurveyName","Species","Common","TrendCategory","Notes"
"1","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Albatrossia pectoralis","Giant grenadier","Persistently Present",NA
"2","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Anoplopoma fimbria","Sablefish","Persistently Present",NA
"3","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Aptocyclus ventricosus","Smooth lumpsucker","Persistently Present",NA
"4","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Arctoraja parmifera","Alaska skate","Emerged","Preliminary trend - under review"
"5","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Bathymaster signatus","Searcher","Persistently Present",NA
"6","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Berryteuthis magister","Magister armhook squid","Persistently Present",NA
"7","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Ceramaster japonicus","Red cookie star","Persistently Present",NA
"8","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Ceramaster patagonicus","Cookie star","Persistently Present",NA
"9","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Chionoecetes bairdi","Tanner crab","Persistently Present",NA
"10","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Crossaster papposus","Common sunstar","Persistently Present",NA
"11","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Diplopteraster multipes","Pincushion star","Persistently Present",NA
"12","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Elassochirus cavimanus","Purple hermit","Persistently Present","Preliminary trend - under review"
"13","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Elassochirus tenuimanus","Widehand hermit","Persistently Present","Preliminary trend - under review"
"14","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Enteroctopus dofleini","North pacific giant octopus","Persistently Present",NA
"15","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Erimacrus isenbeckii","Hair crab","Persistently Present",NA
"16","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Eumicrotremus orbis","Pacific spiny lumpsucker","Persistently Present",NA
"17","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Gadus chalcogrammus","Walleye pollock","Persistently Present",NA
"18","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Gadus macrocephalus","Pacific cod","Persistently Present",NA
"19","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Glyptocephalus zachirus","Rex sole","Persistently Present",NA
"20","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Gorgonocephalus eucnemis","Basket star","Persistently Present",NA
"21","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Gymnocanthus galeatus","Armorhead sculpin","Persistently Present",NA
