"","Species","CommonName","TaxonomicGrouping","FilterRegion","FilterSubRegion","ManagementBody","ManagementPlan","DistributionProjectName"
"1","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Pleuronectiformes (Flatfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"2","Bathyraja spp.","Skate complex","Elasmobranchii: Batoidea (skates, rays)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"3","Cheiraster (Luidiaster) dawsoni",NA,"Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"4","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"5","Sebastes variabilis and S. ciliatus","Dusky and dark rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"6","Solaster sp. A (Clark 1997)",NA,"Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"7","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Pleuronectiformes (Flatfishes)","Alaska","Eastern and Northern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"8","Bathyraja spp.","Skate complex","Elasmobranchii: Batoidea (skates, rays)","Alaska","Eastern and Northern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"9","Hippoglossoides elassodon and H. robustus","Flathead sole-bering flounder","Pleuronectiformes (Flatfishes)","Alaska","Eastern and Northern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"10","Leptasterias (Hexasterias) polaris","Polar six-rayed star","Asteroidea (starfishes)","Alaska","Eastern and Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"11","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"12","Bathyraja spp.","Skate complex","Elasmobranchii: Batoidea (skates, rays)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"13","Hippoglossoides elassodon and H. robustus","Flathead sole-bering flounder","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"14","Leptasterias (Hexasterias) polaris","Polar six-rayed star","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"15","Bathyraja spp.","Skate complex","Elasmobranchii: Batoidea (skates, rays)","Alaska","Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"16","Cheiraster (Luidiaster) dawsoni",NA,"Asteroidea (starfishes)","Alaska","Gulf of Alaska",NA,NA,"Not for IDW"
"17","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","Gulf of Alaska",NA,NA,"NMFS/Rutgers IDW Interpolation"
"18","Sebastes variabilis and S. ciliatus","Dusky and dark rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"19","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Not for IDW"
"20","Hippoglossoides elassodon and H. robustus","Flathead sole-bering flounder","Pleuronectiformes (Flatfishes)","Alaska","Northern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"21","Leptasterias (Hexasterias) polaris","Polar six-rayed star","Asteroidea (starfishes)","Alaska","Northern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"22","Ancylopsetta quadrocellata","Ocellated flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"23","Ophiothrix (Ophiothrix) angulata","Angular brittle star","Ophiuroidea (brittle stars)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
