"","region","name","common"
"1","Aleutian Islands","Anoplopoma fimbria","Sablefish"
"2","Aleutian Islands","Aptocyclus ventricosus","Smooth lumpsucker"
"3","Aleutian Islands","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders"
"4","Aleutian Islands","Bathymaster caeruleofasciatus","Alaskan ronquil"
"5","Aleutian Islands","Bathymaster signatus","Searcher"
"6","Aleutian Islands","Bathyraja spp.","Skate complex"
"7","Aleutian Islands","Berryteuthis magister","Magister armhook squid"
"8","Aleutian Islands","Chauliodus macouni","Pacific viperfish"
"9","Aleutian Islands","Chionoecetes bairdi","Tanner crab"
"10","Aleutian Islands","Albatrossia pectoralis","Giant grenadier"
"11","Aleutian Islands","Dasycottus setiger","Spinyhead sculpin"
"12","Aleutian Islands","Erimacrus isenbeckii","Hair crab"
"13","Aleutian Islands","Eumicrotremus orbis","Pacific spiny lumpsucker"
"14","Aleutian Islands","Gadus chalcogrammus","Walleye pollock"
"15","Aleutian Islands","Gadus macrocephalus","Pacific cod"
"16","Aleutian Islands","Glyptocephalus zachirus","Rex sole"
"17","Aleutian Islands","Gorgonocephalus eucnemis","Basket star"
"18","Aleutian Islands","Gymnocanthus galeatus","Armorhead sculpin"
"19","Aleutian Islands","Hemilepidotus jordani","Yellow irish lord"
"20","Aleutian Islands","Hemilepidotus zapus","Longfin irish lord"
"21","Aleutian Islands","Hemitripterus bolini","Bigmouth sculpin"
"22","Aleutian Islands","Hexagrammos decagrammus","Kelp greenling"
"23","Aleutian Islands","Hippoglossoides elassodon","Flathead sole"
"24","Aleutian Islands","Hippoglossus stenolepis","Pacific halibut"
"25","Aleutian Islands","Lepidopsetta sp.","Rock soles"
"26","Aleutian Islands","Sarritor frenatus","Sawback poacher"
"27","Aleutian Islands","Lithodes aequispinus","Golden king crab"
"28","Aleutian Islands","Lycodes beringi","Bering eelpout"
"29","Aleutian Islands","Lycodes concolor","Ebony eelpout"
"30","Aleutian Islands","Malacocottus zonurus","Darkfin sculpin"
"31","Aleutian Islands","Microstomus pacificus","Dover sole"
"32","Aleutian Islands","Myoxocephalus polyacanthocephalus","Great sculpin"
"33","Aleutian Islands","Oncorhynchus keta","Chum salmon"
"34","Aleutian Islands","Oregonia gracilis","Graceful decorator crab"
"35","Aleutian Islands","Pandalopsis dispar","Sidestripe shrimp"
"36","Aleutian Islands","Pandalus eous","Alaskan pink shrimp"
"37","Aleutian Islands","Placetron wosnessenskii","Scaled crab"
"38","Aleutian Islands","Pleurogrammus monopterygius","Atka mackerel"
"39","Aleutian Islands","Podothecus accipenserinus","Sturgeon poacher"
"40","Aleutian Islands","Reinhardtius hippoglossoides","Greenland halibut"
"41","Aleutian Islands","Rossia pacifica","Eastern pacific bobtail"
"42","Aleutian Islands","Sebastes alutus","Pacific ocean perch"
"43","Aleutian Islands","Sebastes borealis","Shortraker rockfish"
"44","Aleutian Islands","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish"
"45","Aleutian Islands","Sebastes polyspinis","Northern rockfish"
"46","Aleutian Islands","Sebastes variabilis and S. ciliatus","Dusky and dark rockfish"
"47","Aleutian Islands","Sebastes variegatus","Harlequin rockfish"
"48","Aleutian Islands","Sebastolobus alascanus","Shortspine thornyhead"
"49","Aleutian Islands","Triglops forficatus","Scissortail sculpin"
"50","Aleutian Islands","Triglops scepticus","Spectacled sculpin"
"51","Aleutian Islands","Zaprora silenus","Prowfish"
"52","Eastern Bering Sea","Aforia circinata","Keeled aforia"
"53","Eastern Bering Sea","Anarhichas orientalis","Bering wolffish"
"54","Eastern Bering Sea","Aspidophoroides monopterygius","Alligatorfish"
"55","Eastern Bering Sea","Asterias amurensis","North pacific seastar"
"56","Eastern Bering Sea","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders"
"57","Eastern Bering Sea","Bathymaster signatus","Searcher"
"58","Eastern Bering Sea","Beringius behringi","True whelk"
"59","Eastern Bering Sea","Buccinum plectrum","Sinuous whelk"
"60","Eastern Bering Sea","Glebocarcinus oregonensis","Pygmy rock crab"
"61","Eastern Bering Sea","Chionoecetes bairdi","Tanner crab"
"62","Eastern Bering Sea","Chionoecetes opilio","Snow crab"
"63","Eastern Bering Sea","Clinopegma magnum","Helmet whelk"
"64","Eastern Bering Sea","Clupea pallasii","Pacific herring"
"65","Eastern Bering Sea","Dasycottus setiger","Spinyhead sculpin"
"66","Eastern Bering Sea","Erimacrus isenbeckii","Hair crab"
"67","Eastern Bering Sea","Fusitriton oregonensis","Oregon triton"
"68","Eastern Bering Sea","Gadus chalcogrammus","Walleye pollock"
"69","Eastern Bering Sea","Gadus macrocephalus","Pacific cod"
"70","Eastern Bering Sea","Glyptocephalus zachirus","Rex sole"
"71","Eastern Bering Sea","Gorgonocephalus eucnemis","Basket star"
"72","Eastern Bering Sea","Hemilepidotus jordani","Yellow irish lord"
"73","Eastern Bering Sea","Hemilepidotus papilio","Butterfly sculpin"
"74","Eastern Bering Sea","Hemitripterus bolini","Bigmouth sculpin"
"75","Eastern Bering Sea","Hexagrammos stelleri","Whitespotted greenling"
"76","Eastern Bering Sea","Hippoglossoides elassodon and H. robustus","Flathead sole-bering flounder"
"77","Eastern Bering Sea","Hippoglossus stenolepis","Pacific halibut"
"78","Eastern Bering Sea","Hyas coarctatus","Arctic lyre crab"
"79","Eastern Bering Sea","Hyas lyratus","Pacific lyre crab"
"80","Eastern Bering Sea","Icelus spiniger","Thorny sculpin"
"81","Eastern Bering Sea","Isopsetta isolepis","Butter sole"
