region,spp,common,remove
Aleutian Islands,Actiniaria spp.,Anemones,TRUE
Aleutian Islands,Ammodytes sp.,Na,TRUE
Aleutian Islands,Anthomastus sp.,Na,TRUE
Aleutian Islands,Asterozoa spp.,Sea stars,TRUE
Aleutian Islands,Balanus spp.,Barnacle,TRUE
Aleutian Islands,Bathyplotes spp.,Sea cucumber,TRUE
Aleutian Islands,Beringius spp.,True whelks,TRUE
Aleutian Islands,Bryozoa spp.,Bryozoan shrimp,TRUE
Aleutian Islands,Buccinum spp.,True whelks,TRUE
Aleutian Islands,Careproctus spp.,Snailfishes,TRUE
Aleutian Islands,Ceramaster spp.,Cookie star,TRUE
Aleutian Islands,Chlamys spp.,Scallops,TRUE
Aleutian Islands,Decapodiformes spp.,Squids,TRUE
Aleutian Islands,Eunoe sp.,Na,TRUE
Aleutian Islands,Gastropoda spp.,Gastropods,TRUE
Aleutian Islands,Gorgonacea spp.,Soft corals,TRUE
Aleutian Islands,Henricia spp.,Sea star,TRUE
Aleutian Islands,Hippasteria sp.,Na,TRUE
Aleutian Islands,Hirudinea,Na,TRUE
Aleutian Islands,Holothuroidea spp.,Sea cucumbers,TRUE
Aleutian Islands,Hydroidolina,Na,TRUE
Aleutian Islands,Isopoda spp.,"Pill bugs, wood lice and sea slaters",TRUE
Aleutian Islands,Leptasterias spp.,Six-rayed sea stars,TRUE
Aleutian Islands,Liparidae spp.,Snailfishes,TRUE
Aleutian Islands,Macrouridae,,TRUE
Aleutian Islands,Myctophidae spp.,Lanternfishes,TRUE
Aleutian Islands,Neptunea spp.,True whelks,TRUE
Aleutian Islands,Nudibranchia spp.,Nudibranchs,TRUE
Aleutian Islands,Octopodidae spp.,Octopuses,TRUE
Aleutian Islands,Ophiuroidea spp.,Brittle stars,TRUE
Aleutian Islands,Polychaeta spp.,Polychaetes,TRUE
Aleutian Islands,Polynoidae spp.,Scaleworms,TRUE
Aleutian Islands,Porifera spp.,Sponges,TRUE
Aleutian Islands,Psolus spp.,Sea cucumber,TRUE
Aleutian Islands,Pteraster spp.,Slime stars,TRUE
Aleutian Islands,Scyphozoa spp.,Jellyfishes,TRUE
Aleutian Islands,Sebastes spp.,Rockfishes,TRUE
Aleutian Islands,Sipuncula spp.,Peanut worms,TRUE
Aleutian Islands,Solaster sp.,Na,TRUE
Aleutian Islands,Solaster spp.,Sea stars,TRUE
Aleutian Islands,Stenobrachius sp.,Na,TRUE
Aleutian Islands,Stylaster sp.,Na,TRUE
Aleutian Islands,Thaliacea spp.,Pelagic tunicates,TRUE
Aleutian Islands,Tunicata spp.,Tunicates,TRUE
Aleutian Islands,Volutopsius spp.,True whelks,TRUE
Eastern Bering Sea,Actiniaria spp.,Anemones,TRUE
Eastern Bering Sea,Ammodytes sp.,Na,TRUE
Eastern Bering Sea,Aphroditidae spp.,Sea mice,TRUE
Eastern Bering Sea,Aplidium spp.,Ascidians,TRUE
Eastern Bering Sea,Argis spp.,Argid shrimps,TRUE
Eastern Bering Sea,Beringius spp.,True whelks,TRUE
Eastern Bering Sea,Bivalvia spp.,Bivalves,TRUE
Eastern Bering Sea,Boltenia spp.,Sea squirt,TRUE
Eastern Bering Sea,Bryozoa spp.,Bryozoan shrimp,TRUE
Eastern Bering Sea,Buccinum spp.,True whelks,TRUE
Eastern Bering Sea,Chionoecetes spp.,Snow crabs,TRUE
Eastern Bering Sea,Chlamys spp.,Scallops,TRUE
