taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common 
ANASIMUS LATUS,latus,Anasimus,Inachoididae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Anasimus latus,Stilt spider crab
ABLENNES HIANS,hians,Ablennes,NA,NA,NA,NA,NA,NA,NA,Ablennes hians,Flat needlefish
ACANTHEPHYRA PELAGICA,pelagica,Acanthephyra,Acanthephyridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acanthephyra pelagica,Scarlet shrimp
Acantholithodes hispidus,hispidus,Acantholithodes,Hapalogastridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acantholithodes hispidus,Spiny lithode crab
Acantholithodeshispidus,hispidus,Acantholithodes,Hapalogastridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acantholithodes hispidus,Spiny lithode crab
ACANTHOSTRACION QUADRICORNIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthostracion quadricornis,Scrawled cowfish
ACANTHURUS COERULEUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthurus coeruleus,Blue tang
ACHIRUS LINEATUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Achirus lineatus,Lined sole
ACHOA HEPSETUS,hepsetus,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Anchoa hepsetus,Striped anchovy
ACHOA MITCHILLI,mitchilli,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anchoa mitchilli,Bay anchovy
ACIPENSER OXYRINCHUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser oxyrinchus,Atlantic sturgeon
ACTINARIA,NA,NA,NA,Actiniaria,Anthozoa,NA,NA,Cnidaria,Animalia,Actiniaria spp.,Anemones
Actinauge verrilli,verrilli,Actinauge,Hormathiidae,Actiniaria,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Actinauge verrilli,Reticulate anemone
Actiniaria,NA,NA,NA,Actiniaria,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Actiniaria spp.,Anemones
ACYLOPSETTA DILECTA,dilecta,Ancylopsetta,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Acylopsetta dilecta,Three-eye flounder
ACYLOPSETTA QUADROCELLATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ancylopsetta ommata,Ocellated flounder
AETOBATUS NARINARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aetobatus narinari,Spotted eagle ray
Aforia circinata,circinata,Aforia,Cochlespiridae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Aforia circinata,Keeled aforia
Aforiacircinata,circinata,Aforia,Cochlespiridae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Aforia circinata,Keeled aforia
Agonopsis vulsa,vulsa,Agonopsis,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Agonopsis vulsa,Northern spearnose poacher
AGONUS DECAGONUS,decagonus,Leptagonus,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Leptagonus decagonus,Atlantic poacher
Albatrossia pectoralis,pectoralis,Albatrossia,Macrouridae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Albatrossia pectoralis,Giant grenadier
Albatrossiapectoralis,pectoralis,Albatrossia,Macrouridae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Albatrossia pectoralis,Giant grenadier
ALBUNEA PARETII,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albunea paretii,Beach mole crab
ALECTIS CILIARIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alectis ciliaris,African pompano
ALEPOCEPHALUS BAIRDII,bairdii,Alepocephalus,Alepocephalidae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alepocephalus bairdii,Baird's smoothhead
Allocentrotus fragilis,fragilis,Allocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,NA,Echinozoa,Echinodermata,Animalia,Allocentrotus fragilis,Fragile urchin
Allosmerus elongatus,elongatus,Allosmerus,Osmeridae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Allosmerus elongatus,Whitebait smelt
ALOPIAS VULPINUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alopias vulpinus,Thresher shark
ALOSA AESTIVALIS,aestivalis,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa aestivalis,Blueback herring
Alosa aestivalis,aestivalis,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa aestivalis,Blueback herring
ALOSA PSEUDOHARENGUS,pseudoharengus,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa pseudoharengus,Alewife
Alosa pseudoharengus,pseudoharengus,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa pseudoharengus,Alewife
ALOSA SAPIDISSIMA,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa sapidissima,American shad
Alosa sapidissima,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa sapidissima,American shad
ALPHEUS FORMOSUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpheus formosus,Striped snapping shrimp
ALPHEUS HETEROCHELIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpheus heterochaelis,Bigclaw snapping shrimp
ALPHEUS HETEROCHAELIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpheus heterochaelis,Bigclaw snapping shrimp
ALUTERUS HEUDELOTII,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aluterus heudelotii,Dotterel filefish
ALUTERUS MONOCEROS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aluterus monoceros,Unicorn filefish
ALUTERUS SCHOEPFII,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aluterus schoepfii,Orange filefish
AMBLYRAJA RADIATA,radiata,Amblyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Amblyraja radiata,Thorny skate
Amblyraja radiata,radiata,Amblyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Amblyraja radiata,Thorny skate
AMMODYTES DUBIUS,dubius,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ammodytes dubius,Northern sand lance
Ammodytes hexapterus,hexapterus,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ammodytes hexapterus,Pacific sand lance
