survey_name,valid_name,common,rank,class,order,family,citation,valid_authority,valid_AuthID,url,src_database
Abietinaria,Abietinaria,,HigherOrder,Hydrozoa,Leptothecata,Sertulariidae,"Schuchert, P. (2023). World Hydrozoa Database. Abietinaria Kirchenpauer, 1884. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117225 on 2023-01-31","Kirchenpauer, 1884",117225,https://www.marinespecies.org/aphia.php?p=taxdetails&id=117225,worms
Abietinaria sp.,Abietinaria,,HigherOrder,Hydrozoa,Leptothecata,Sertulariidae,"Schuchert, P. (2023). World Hydrozoa Database. Abietinaria Kirchenpauer, 1884. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117225 on 2023-01-31","Kirchenpauer, 1884",117225,https://www.marinespecies.org/aphia.php?p=taxdetails&id=117225,worms
Abietinaria sp. a (clark 2006),Abietinaria sp. A,,Species,Hydrozoa,Leptothecata,Sertulariidae,,,,,worms
Abisa,Abisa,,HigherOrder,,,,,,,,worms
Ablennes hians,Ablennes hians,Flat needlefish,Species,Actinopteri,Beloniformes,Belonidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Ablennes hians (Valenciennes, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159246 on 2022-12-01","(Valenciennes, 1846)",159246,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159246,WORMS
Abralia redfieldi,Abralia redfieldi,Redfield's enope squid,Species,Cephalopoda,Oegopsida,Enoploteuthidae,"MolluscaBase eds. (2022). MolluscaBase. Abralia redfieldi Voss, 1955. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341837 on 2022-12-01","Voss, 1955",341837,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341837,WORMS
Abralia veranyi,Abralia veranyi,Eye flash squid,Species,Cephalopoda,Oegopsida,Enoploteuthidae,"MolluscaBase eds. (2022). MolluscaBase. Abralia veranyi (R<fc>ppell, 1844). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=139688 on 2022-12-01","(R<fc>ppell, 1844)",139688,https://www.marinespecies.org/aphia.php?p=taxdetails&id=139688,WORMS
Abraliopsis felis,Abraliopsis felis,,Species,Cephalopoda,Oegopsida,Enoploteuthidae,"MolluscaBase eds. (2022). MolluscaBase. Abraliopsis felis McGowan & Okutani, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341849 on 2022-12-01","McGowan & Okutani, 1968",341849,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341849,WORMS
Abudefduf saxatilis,Abudefduf saxatilis,Sergeant major,Species,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Abudefduf saxatilis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159288 on 2022-12-01","(Linnaeus, 1758)",159288,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159288,WORMS
Esperiopsis flagrum,Abyssocladia flagrum,,Species,Demospongiae,Poecilosclerida,Esperiopsidae,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; C<e1>rdenas, P.; D<ed>az, M.-C.; Dohrmann, M.; Downey, R.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Manconi, R.; Morrow, C.C. Pisera, A.B.; R<ed>os, P.; R<fc>tzler, K.; Sch<f6>nberg, C.; Vacelet, J.; van Soest, R.W.M. (2022). World Porifera Database. Esperiopsis flagrum Lehnert, Stone & Heimler, 2006. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=233110 on 2022-12-01","(Lehnert, Stone & Heimler, 2006)",864174,https://www.marinespecies.org/aphia.php?p=taxdetails&id=233110,WORMS
