File Name,Extension,Size,Created,Modified,Accessed,Path
DisMAP.aprx,.aprx,147.77 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 18:57:17,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\DisMAP.aprx
temp.aprx,.aprx,607.89 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 18:57:16,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\temp.aprx
April 1 2023.aprx,.aprx,70.82 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 18:57:16,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\April 1 2023.aprx
_Datasets.dbf,.dbf,13.11 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2024-04-24 13:03:38,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\CSV_Data\_Datasets.dbf
ai_area.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2024-04-24 13:04:18,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_area.dbf
ai_area.prj,.prj,0.43 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_area.prj
ai_area.shp,.shp,967.64 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_area.shp
AI_Boundary.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\AI_Boundary.dbf
AI_Boundary.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\AI_Boundary.prj
AI_Boundary.shp,.shp,0.98 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\AI_Boundary.shp
