region,spp,common
Northeast US Fall,Limulus polyphemus,Horseshoe crab
Northeast US Spring,Limulus polyphemus,Horseshoe crab
Northeast US Fall,Micropogonias undulatus,Atlantic croaker
Northeast US Spring,Micropogonias undulatus,Atlantic croaker
Northeast US Fall,Rhizoprionodon terraenovae,Atlantic sharpnose shark
Gulf of Mexico,Rhizoprionodon terraenovae,Atlantic sharpnose shark
Northeast US Fall,Anarhichas lupus,Atlantic wolffish
Northeast US Spring,Anarhichas lupus,Atlantic wolffish
Northeast US Spring,Chaceon quinquedens,Red deepsea crab
Northeast US Fall,Chaceon quinquedens,Red deepsea crab
Northeast US Spring,Dipturus laevis,Barndoor skate
Northeast US Fall,Dipturus laevis,Barndoor skate
Northeast US Fall,Hippoglossus hippoglossus,Atlantic halibut
Northeast US Spring,Hippoglossus hippoglossus,Atlantic halibut
Northeast US Fall,Leucoraja garmani,Rosette skate
Northeast US Spring,Leucoraja garmani,Rosette skate
Northeast US Fall,Merluccius albidus,Offshore hake
Northeast US Spring,Merluccius albidus,Offshore hake
Northeast US Fall,Phycis chesteri,Longfin hake
Northeast US Spring,Phycis chesteri,Longfin hake
Northeast US Fall,Rostroraja eglanteria,Clearnose skate
Northeast US Spring,Rostroraja eglanteria,Clearnose skate
Gulf of Mexico,Rostroraja eglanteria,Clearnose skate
Gulf of Mexico,Epinephelus morio,Red grouper
