,spp,common,FilterSubRegion,Taxonomic.Grouping,FilterRegion,Management.Body,Management.Plan,DistributionProjectName
1,Abietinaria sp. A (Clark 2006),white tangled hydroid,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
2,Albatrossia pectoralis,Giant grenadier,Aleutian Islands,"Gadiformes (Cods, genadiers, pollock) ",Alaska,,,Not for IDW
3,Amphisbetia greenei,Fibre optic hydroid,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
4,Anoplopoma fimbria,Sablefish,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
5,Aphrocallistes vastus,Cloud sponge,Aleutian Islands,Porifera (sponges),Alaska,,,NMFS/Rutgers IDW Interpolation
6,Aplidium soldatovi,Sand-grain imbedded ascidian,Aleutian Islands,"Tunicata (sea squirts, tunicates, salps) ",Alaska,,,Not for IDW
7,Aplidium sp. A (Clark 2006),sea glob,Aleutian Islands,"Tunicata (sea squirts, tunicates, salps) ",Alaska,,,Not for IDW
8,Aptocyclus ventricosus,Smooth lumpsucker,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,Not for IDW
9,Arctoraja parmifera,Alaska skate,Aleutian Islands,"Elasmobranchii: Batoidea (skates, rays)",Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
10,Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Aleutian Islands,Pleuronectiformes (Flatfishes) ,Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
11,Axinella blanca,Firm finger sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
12,Bathymaster signatus,Searcher,Aleutian Islands,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,,,NMFS/Rutgers IDW Interpolation
13,Bathyraja spp.,Skate complex,Aleutian Islands,"Elasmobranchii: Batoidea (skates, rays)",Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
14,Berryteuthis magister,Magister armhook squid,Aleutian Islands,"Cephalopoda (squid, octopus)",Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
15,Bonneviella sp. A (Clark 2006),champagne flute hydroid,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
16,Calcigorgia spiculifera,Pink gorgonian,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
17,Callogorgia compressa,NA,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
18,Careproctus rastrinus,Salmon snailfish,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,Not for IDW
19,Careproctus sp. cf. melanurus (Orr et al.),scorched snailfish,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,Not for IDW
20,Ceramaster japonicus,Red cookie star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
21,Ceramaster patagonicus,Cookie star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
22,Cheiraster (Luidiaster) dawsoni,NA,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
23,Chionoecetes bairdi,Tanner crab,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
24,Chirona evermanni,Deepwater giant barnacle,Aleutian Islands,Balanomorpha (barnacles),Alaska,,,Not for IDW
25,Chlamys albida,White scallop,Aleutian Islands,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,,,Not for IDW
26,Chlamys rubida,Reddish scallop,Aleutian Islands,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,,,Not for IDW
27,Chrysaora melanaster,NA,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
28,Cladocroce attu,Rough hat sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
29,Crossaster papposus,Common sunstar,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,NMFS/Rutgers IDW Interpolation
30,Cucumaria fallax,Sea football,Aleutian Islands,Holothuroidea (sea cucumbers),Alaska,,,Not for IDW
31,Cucumaria frondosa,Orange footed sea cucumber,Aleutian Islands,Holothuroidea (sea cucumbers),Alaska,,,Not for IDW
32,Diplopteraster multipes,Pincushion star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,NMFS/Rutgers IDW Interpolation
33,Elassochirus cavimanus,Purple hermit,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,NMFS/Rutgers IDW Interpolation
34,Elassochirus tenuimanus,Widehand hermit,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,Not for IDW
35,Enteroctopus dofleini,North pacific giant octopus,Aleutian Islands,"Cephalopoda (squid, octopus)",Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
36,Erimacrus isenbeckii,Hair crab,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,Not for IDW
37,Eucratea loricata,Feathery bryozoan,Aleutian Islands,Bryozoa,Alaska,,,Not for IDW
38,Eumicrotremus orbis,Pacific spiny lumpsucker,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,NMFS/Rutgers IDW Interpolation
39,Eunoe nodosa,Giant scale worm,Aleutian Islands,Polychaeta (brittle worms) ,Alaska,,,Not for IDW
40,Fusitriton oregonensis,Oregon triton,Aleutian Islands,Gastropoda (sea snails and slugs),Alaska,,,NMFS/Rutgers IDW Interpolation
41,Gadus chalcogrammus,Walleye pollock,Aleutian Islands,"Gadiformes (Cods, genadiers, pollock) ",Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
42,Gadus macrocephalus,Pacific cod,Aleutian Islands,"Gadiformes (Cods, genadiers, pollock) ",Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
43,Geodia carolae,calcareous finger sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
44,Glyptocephalus zachirus,Rex sole,Aleutian Islands,Pleuronectiformes (Flatfishes) ,Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
45,Gorgonocephalus eucnemis,Basket star,Aleutian Islands,Ophiuroidea (brittle stars),Alaska,,,NMFS/Rutgers IDW Interpolation
46,Gymnocanthus galeatus,Armorhead sculpin,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
47,Halichondria (Halichondria) panicea,Breadcrumb sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
48,Halocynthia aurantium,Sea peach,Aleutian Islands,"Tunicata (sea squirts, tunicates, salps) ",Alaska,,,NMFS/Rutgers IDW Interpolation
49,Hemilepidotus jordani,Yellow irish lord,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
50,Hemilepidotus zapus,Longfin irish lord,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,Not for IDW
51,Hemitripterus bolini,Bigmouth sculpin,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,Not for IDW
52,Henricia asthenactis,NA,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
53,Henricia leviuscula,Pacific blood star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
54,Hippasteria phrygiana,Arctic cushion star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
55,Hippoglossoides elassodon,Flathead sole,Aleutian Islands,Pleuronectiformes (Flatfishes) ,Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
56,Hippoglossus stenolepis,Pacific halibut,Aleutian Islands,Pleuronectiformes (Flatfishes) ,Alaska,NPFMC,Species Managed Under International Agreement - IPHC,NMFS/Rutgers IDW Interpolation
57,Histodermella kagigunensis,Spud sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
58,Hyas lyratus,Pacific lyre crab,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,NMFS/Rutgers IDW Interpolation
59,Isodictya rigida,Orange finger sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
60,Latrunculia (Uniannulata) oparinae,NA,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
61,Lebbeus groenlandicus,Spiny lebbeid,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,Not for IDW
62,Lepidopsetta sp.,Rock soles,Aleutian Islands,Pleuronectiformes (Flatfishes) ,Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
63,Leptasterias coei truculenta,Giant Aleutian six-rayed star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
64,Lethasterias nanimensis,Black spined sea star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,NMFS/Rutgers IDW Interpolation
65,Lethotremus muticus,Docked snailfish,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,Not for IDW
66,Lithodes aequispinus,Golden king crab,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
67,Lycodes concolor,Ebony eelpout,Aleutian Islands,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,,,Not for IDW
68,Malacocottus zonurus,Darkfin sculpin,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
69,Microstomus pacificus,Dover sole,Aleutian Islands,Pleuronectiformes (Flatfishes) ,Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
70,Modiolus modiolus,Northern horsemussel,Aleutian Islands,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,,,Not for IDW
71,Monanchora pulchra,Yellow leafy sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
72,Muriceides nigra,NA,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
73,Mycale (Mycale) loveni,Loven's horny sponge,Aleutian Islands,Porifera (sponges),Alaska,,,NMFS/Rutgers IDW Interpolation
74,Myoxocephalus polyacanthocephalus,Great sculpin,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
75,Myxilla brunnea,soft brown sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
76,Ophiopholis aculeata,Daisy brittle star,Aleutian Islands,Ophiuroidea (brittle stars),Alaska,,,NMFS/Rutgers IDW Interpolation
77,Ophiopholis longispina,NA,Aleutian Islands,Ophiuroidea (brittle stars),Alaska,,,Not for IDW
78,Oregonia gracilis,Graceful decorator crab,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,NMFS/Rutgers IDW Interpolation
79,Pagurus aleuticus,Aleutian hermit,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,Not for IDW
80,Pagurus brandti,Sponge hermit,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,NMFS/Rutgers IDW Interpolation
81,Pagurus trigonocheirus,Fuzzy hermit,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,Not for IDW
82,Pandalus eous,Northern shrimp,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,NMFS/Rutgers IDW Interpolation
83,Pandalus tridens,Yellowleg pandalid,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),Alaska,,,NMFS/Rutgers IDW Interpolation
84,Paragorgia arborea,Bubblegum coral,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
85,Phacellophora camtschatica,Fried egg jellyfish,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
86,Plakina tanaga,White convoluted sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
87,Pleurogrammus monopterygius,Atka mackerel,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
88,Plumarella superba,Bushy coral,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
89,Pododesmus macrochisma,Green falsejingle,Aleutian Islands,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,,,NMFS/Rutgers IDW Interpolation
90,Podothecus accipenserinus,Sturgeon poacher,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,NMFS/Rutgers IDW Interpolation
91,Polymastia fluegeli,Flugel nippled sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
92,Polymastia sp. A (Clark 2006),prolific nipple sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
93,Porella compressa,Flattened bryozoan,Aleutian Islands,Bryozoa,Alaska,,,Not for IDW
94,Primnoa pacifica var. willeyi,Red tree coral,Aleutian Islands,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,,,Not for IDW
95,Pseudarchaster parelii,Northern scarlet star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
96,Pteraster marsippus,Prickly cushion star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
97,Pteraster militaris,Wrinkled sea star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,NMFS/Rutgers IDW Interpolation
98,Pteraster sp. A (Clark 1999),NA,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
99,Pteraster tesselatus,Tesselated slime star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
100,Reinhardtius hippoglossoides,Greenland halibut,Aleutian Islands,Pleuronectiformes (Flatfishes) ,Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
101,Rossia pacifica,Eastern pacific bobtail,Aleutian Islands,"Cephalopoda (squid, octopus)",Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
102,Sarritor frenatus,Sawback poacher,Aleutian Islands,Perciformes/Cottoidei (sculpins),Alaska,,,NMFS/Rutgers IDW Interpolation
103,Sebastes alutus,Pacific ocean perch,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
104,Sebastes borealis,Shortraker rockfish,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
105,Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
106,Sebastes polyspinis,Northern rockfish,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
107,Sebastes variabilis and S. ciliatus,Dusky and dark rockfish,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
108,Sebastolobus alascanus,Shortspine thornyhead,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
109,Solaster dawsoni,Morning sun star,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
110,Solaster sp. A (Clark 1997),NA,Aleutian Islands,Asteroidea (starfishes) ,Alaska,,,Not for IDW
111,Stegophiura ponderosa,NA,Aleutian Islands,Ophiuroidea (brittle stars),Alaska,,,Not for IDW
112,Stelodoryx oxeata,Scapula sponge,Aleutian Islands,Porifera (sponges),Alaska,,,Not for IDW
