spp,common,FilterRegion,FilterSubRegion,Taxonomic.Grouping,Management.Body,Management.Plan
Acantholumpenus mackayi,Pighead prickleback,Alaska,Northern Bering Sea,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),,
Acanthostracion quadricornis,Scrawled cowfish,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Achelous gibbesii,Iridescent swimming crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Achelous gibbesii,Iridescent swimming crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Achelous spinicarpus,Longspine swimming crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Achelous spinimanus,Blotched swimming crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Achelous spinimanus,Blotched swimming crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Actinauge verrillii,Reticulate anemone,Alaska,Gulf of Alaska,"Cnidaria (jellyfish, corals, anenomes) ",,
Actinauge verrillii,Reticulate anemone,US West Coast,West Coast,"Cnidaria (jellyfish, corals, anenomes) ",,
Actinostola faeculenta,Hobnail vase anemone,US West Coast,West Coast,"Cnidaria (jellyfish, corals, anenomes) ",,
Albatrossia pectoralis,Giant grenadier,US West Coast,West Coast,"Gadiformes (Cods, genadiers, pollock) ",PFMC,Pacific Coast Groundfish
Alepocephalus tenebrosus,California slickhead,US West Coast,West Coast,Alepocephaliformes (Slickheads and tubeshoulders.),,
Alosa aestivalis,Blueback herring,US East Coast,Northeast,"Clupeiformes (Herrings, anchovy, shad)",ASMFC,Interstate Fishery Management Plan 
Alosa pseudoharengus,Alewife,US East Coast,Northeast,"Clupeiformes (Herrings, anchovy, shad)",ASMFC,Interstate Fishery Management Plan 
Alosa sapidissima,American shad,US East Coast,Northeast,"Clupeiformes (Herrings, anchovy, shad)",ASMFC,Interstate Fishery Management Plan 
Alosa sapidissima,American shad,US West Coast,West Coast,"Clupeiformes (Herrings, anchovy, shad)",,
Aluterus schoepfii,Orange filefish,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Amblyraja radiata,Thorny skate,US East Coast,Northeast,"Elasmobranchi:Batoidea (skates, rays) ",NEFMC,Northeast Skate Complex
Anarhichas lupus,Atlantic wolffish,US East Coast,Northeast,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),NEFMC,Northeast Multispecies
Anasimus latus,Stilt spider crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
