,spp,common,FilterSubRegion,Reason Added
1,Anchoa spp.,Anchovies,Southeast,Decided to keep higher level Anchoa complex in analysis 
2,Doryteuthis sp,Inshore Squid sp.,Gulf of Mexico,"Doryteuthis combined to a genus complex, and now reported as Doryteuthis sp"
3,Halieutichthys sp,Batfished,Gulf of Mexico,"Halieutichthys combined to a genus complex, and now reported as Halieutichthys sp"
4,Myzopsetta proboscidea,Longhead dab,Eastern Bering Sea,Name change
5,Euvola marensis,Paper scallop,Gulf of Mexico,Name change
6,Rostroraja texana,Roundel skate,Gulf of Mexico,Name change
7,Myzopsetta ferruginea,Yellowtail flounder,Northeast,Name change
8,Myzopsetta proboscidea,Longhead dab,Northern Bering Sea,Name change
9,Microstomus bathybius,Deep-sea sole,West Coast,Name change
10,Nearchaster (Nearchaster) aciculosus,Needle spined fragile star,West Coast,Name change
11,Doryteuthis sp,Inshore Squid sp.,Southeast,Name change from Loligo sp to Doryteuthis sp
12,Arctoraja parmifera,Alaska skate,Northern Bering Sea,"Name change, no longer included in Bathyraja complex "
13,Chilomycterus schoepfii,Striped burrfish,Gulf of Mexico,Naming fix
14,Leucoraja erinaceus,Little skate,Northeast,Naming fix
15,Pareques umbrosus,Cubbyu,Gulf of Mexico,Now meets prevalence criteria
16,Scorpaena agassizii,Longfin scorpionfish,Gulf of Mexico,Now meets prevalence criteria
17,Xyrichtys novacula,Pearly razorfish,Gulf of Mexico,Now meets prevalence criteria
18,Serranus notospilus,Saddle bass,Gulf of Mexico,Now meets prevalence criteria
19,Saurida normani,Shortjaw lizardfish,Gulf of Mexico,Now meets prevalence criteria
20,Eucinostomus gula,Silver jenny,Gulf of Mexico,Now meets prevalence criteria
21,Urophycis floridana,Southern hake,Gulf of Mexico,Now meets prevalence criteria
22,Citharichthys macrops,Spotted whiff,Gulf of Mexico,Now meets prevalence criteria
23,Limulus polyphemus,Horseshoe crab,Southeast,Now meets prevalence criteria
24,Harengula jaguana,Scaled sardine,Southeast,Now meets prevalence criteria
25,Lithodes couesi,Scarlet king crab,West Coast,Now meets prevalence criteria
26,Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Aleutian Islands,Result of data fix
27,Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Gulf of Alaska,Result of data fix
28,Solenocera atlantidis,Dwarf humpback shrimp,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
29,Nicholsina usta,Emerald parrotfish,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
30,Moreiradromia antillensis,Hairy sponge crab,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
31,Solenocera vioscai,Humpback shrimp,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
32,Stylocidaris affinis,Pencil urchin,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
33,Ogcocephalus parvus,Roughback batfish,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
34,Cynoscion arenarius,Sand weakfish,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
35,Cynoscion nothus,Silver seatrout,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
36,Cyclopsetta fimbriata,Spotfin flounder,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
37,Symphurus diomedeanus,Spottedfin tonguefish,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
38,Serranus phoebe,Tattler,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
39,Bothus robinsi,Twospot flounder,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
40,Haemulon plumierii,White grunt,Gulf of Mexico,Result of fixing bsgcodes in GMEX data processing step 
