spp,common,FilterSubRegion,Reason for removal
Astropecten duplicatus,Two-spined star fish,Gulf of Mexico,"Astropecten combined to genus level in GMEX due to identification issues, and dropped from analysis "
Astropecten cingulatus,,Gulf of Mexico,"Astropecten combined to genus level in GMEX due to identification issues, and dropped from analysis "
Doryteuthis pealeii,Longfin inshore squid,Gulf of Mexico,"Doryteuthis combined to a genus complex, and now reported as Doryteuthis sp"
Doryteuthis pleii,Slender inshore squid,Gulf of Mexico,"Doryteuthis combined to a genus complex, and now reported as Doryteuthis sp"
Halieutichthys aculeatus,Pancake batfish,Gulf of Mexico,"Halieutichthys combined to a genus complex, and now reported as Halieutichthys sp"
Limanda proboscidea,Longhead dab,Eastern Bering Sea,Name change
Amusium papyraceum,Paper scallop,Gulf of Mexico,Name change
Raja texana,Roundel skate,Gulf of Mexico,Name change
Leucoraja erinacea,Little skate,Northeast,Name change
Limanda ferruginea,Yellowtail flounder,Northeast,Name change
Limanda proboscidea,Longhead dab,Northern Bering Sea,Name change
Loligo spp.,Loligo squid,Southeast,Name change
Embassichthys bathybius,Deep-sea sole,West Coast,Name change
Nearchaster aciculosus,Needle spined fragile star,West Coast,Name change
Lycodes raridens,Marbled eelpout,Eastern Bering Sea,no longer meets prevalence criteria
Bathyraja spp.,Skate complex,Eastern Bering Sea,no longer meets prevalence criteria
Metridium farcimen,Giant plumose anemone,Gulf of Alaska,no longer meets prevalence criteria
Sebastes variegatus,Harlequin rockfish,Gulf of Alaska,no longer meets prevalence criteria
Mycale (Mycale) loveni,Loven's horny sponge,Gulf of Alaska,no longer meets prevalence criteria
Pseudarchaster parelii,Northern scarlet star,Gulf of Alaska,no longer meets prevalence criteria
Symphurus plagiusa,Blackcheek tonguefish,Gulf of Mexico,no longer meets prevalence criteria
Pagrus pagrus,Red porgy,Gulf of Mexico,no longer meets prevalence criteria
Chrysaora quinquecirrha,Sea nettle,Gulf of Mexico,no longer meets prevalence criteria
Leptasterias groenlandica,Greenland star,Northern Bering Sea,no longer meets prevalence criteria
Bathyraja spp.,Skate complex,Northern Bering Sea,no longer meets prevalence criteria
Ariopsis felis,Hardhead catfish,Southeast,no longer meets prevalence criteria
