survey_name,accepted_name,common,kingdom,phylum,class,order,family,genus,rank,worms_id,SpecCode,filtercat,,,,,,,
Abietinaria,Abietinaria,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Genus,117225,NA,remove,,,,,,,
Abietinaria sp.,Abietinaria,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Genus,117226,NA,remove,,,,,,,
Abietinaria sp. A (Clark 2006),Abietinaria sp. A (Clark 2006),white tangled hydroid,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Species,NA,NA,Species,,,,,,,
Abisa,Abisa,NA,NA,NA,NA,NA,NA,NA,HigherOrder,NA,NA,remove,,,,,,,
Ablennes hians,Ablennes hians,Flat needlefish,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Ablennes,Species,159246,972,Species,,,,,,,
Abralia redfieldi,Abralia redfieldi,Redfield's enope squid,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Species,341837,NA,Species,,,,,,,
Abralia veranyi,Abralia veranyi,Eye flash squid,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Species,139688,NA,Species,,,,,,,
Abraliopsis felis,Abraliopsis felis,NA,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,Species,341849,NA,Species,,,,,,,
Abudefduf saxatilis,Abudefduf saxatilis,Sergeant major,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,Species,159288,1119,Species,,,,,,,
Esperiopsis flagrum,Abyssocladia flagrum,Cheesestick sponge,Animalia,Porifera,Demospongiae,Poecilosclerida,Esperiopsidae,Esperiopsis,Species,864174,NA,Species,,,,,,,
Abyssocladia flagrum,Abyssocladia flagrum,Cheesestick sponge,Animalia,Porifera,Demospongiae,Poecilosclerida,Esperiopsidae,Esperiopsis,Species,864175,NA,Species,,,,,,,
Acanthascus,Acanthascus,NA,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,Genus,171966,NA,remove,,,,,,,
Acanthascus sp.,Acanthascus,NA,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,Genus,171967,NA,remove,,,,,,,
Rhabdocalyptus,Acanthascus (Rhabdocalyptus),NA,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Rhabdocalyptus,Genus,171972,NA,remove,,,,,,,
Staurocalyptus,Acanthascus (Staurocalyptus),NA,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Staurocalyptus,Genus,171991,NA,remove,,,,,,,
Acanthascus sp. A,Acanthascus sp. A,angel-hair vase sponge,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,Species,NA,NA,Species,,,,,,,
Acanthascus sp. B,Acanthascus sp. B,thin-lipped vase sponge,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,Species,NA,NA,Species,,,,,,,
Acanthephyra,Acanthephyra,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Genus,107018,NA,remove,,,,,,,
Acanthephyra curtirostris,Acanthephyra curtirostris,Peaked shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Species,107579,NA,Species,,,,,,,
Iliacantha intermedia,Acanthilia intermedia,Granulose purse crab,Animalia,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Iliacantha,Species,421926,NA,Species,,,,,,,
Acanthilia intermedia,Acanthilia intermedia,Granulose purse crab,Animalia,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Iliacantha,Species,421926,NA,Species,,,,,,,
Acanthocarpus,Acanthocarpus,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Acanthocarpus,Genus,106872,NA,remove,,,,,,,
Acanthocarpus alexandri,Acanthocarpus alexandri,Gladiator box crab,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Acanthocarpus,Species,158044,NA,Species,,,,,,,
Acantholiparis opercularis,Acantholiparis opercularis,Spiny snailfish,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Acanthocarpus,Species,279480,NA,Species,,,,,,,
Acantholithodes,Acantholithodes,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Hapalogastridae,Acantholithodes,Genus,590102,NA,remove,,,,,,,
